"Região Habilitação Atual","UF Habilitação Atual","Sexo","Faixa Etária","Categoria","Qt. Condutor Histórico"
"Centro-Oeste","Distrito Federal","Masculino","18 a 21","A-Condutor Moto","173"
"Centro-Oeste","Distrito Federal","Masculino","18 a 21","AB-Condutor Moto/Carro","11.171"
"Centro-Oeste","Distrito Federal","Masculino","18 a 21","AC-Condutor Moto/Caminhão","12"
"Centro-Oeste","Distrito Federal","Masculino","18 a 21","AD-Condutor Moto/Ônibus","31"
"Centro-Oeste","Distrito Federal","Masculino","18 a 21","AE-Condutor Moto/Carreta","4"
"Centro-Oeste","Distrito Federal","Masculino","18 a 21","B-Condutor Carro","18.416"
"Centro-Oeste","Distrito Federal","Masculino","18 a 21","C-Condutor Caminhão","9"
"Centro-Oeste","Distrito Federal","Masculino","18 a 21","D-Condutor Ônibus","18"
"Centro-Oeste","Distrito Federal","Masculino","22 a 25","A-Condutor Moto","650"
"Centro-Oeste","Distrito Federal","Masculino","22 a 25","AB-Condutor Moto/Carro","26.108"
"Centro-Oeste","Distrito Federal","Masculino","22 a 25","AC-Condutor Moto/Caminhão","27"
"Centro-Oeste","Distrito Federal","Masculino","22 a 25","AD-Condutor Moto/Ônibus","1.367"
"Centro-Oeste","Distrito Federal","Masculino","22 a 25","AE-Condutor Moto/Carreta","69"
"Centro-Oeste","Distrito Federal","Masculino","22 a 25","B-Condutor Carro","37.975"
"Centro-Oeste","Distrito Federal","Masculino","22 a 25","C-Condutor Caminhão","14"
"Centro-Oeste","Distrito Federal","Masculino","22 a 25","D-Condutor Ônibus","511"
"Centro-Oeste","Distrito Federal","Masculino","22 a 25","E-Condutor Carreta","25"
"Centro-Oeste","Distrito Federal","Masculino","26 a 30","A-Condutor Moto","1.198"
"Centro-Oeste","Distrito Federal","Masculino","26 a 30","AB-Condutor Moto/Carro","41.263"
"Centro-Oeste","Distrito Federal","Masculino","26 a 30","AC-Condutor Moto/Caminhão","42"
"Centro-Oeste","Distrito Federal","Masculino","26 a 30","AD-Condutor Moto/Ônibus","5.392"
"Centro-Oeste","Distrito Federal","Masculino","26 a 30","AE-Condutor Moto/Carreta","686"
"Centro-Oeste","Distrito Federal","Masculino","26 a 30","B-Condutor Carro","50.909"
"Centro-Oeste","Distrito Federal","Masculino","26 a 30","C-Condutor Caminhão","16"
"Centro-Oeste","Distrito Federal","Masculino","26 a 30","D-Condutor Ônibus","2.226"
"Centro-Oeste","Distrito Federal","Masculino","26 a 30","E-Condutor Carreta","136"
"Centro-Oeste","Distrito Federal","Masculino","31 a 40","A-Condutor Moto","2.610"
"Centro-Oeste","Distrito Federal","Masculino","31 a 40","AB-Condutor Moto/Carro","88.314"
"Centro-Oeste","Distrito Federal","Masculino","31 a 40","AC-Condutor Moto/Caminhão","207"
"Centro-Oeste","Distrito Federal","Masculino","31 a 40","AD-Condutor Moto/Ônibus","23.900"
"Centro-Oeste","Distrito Federal","Masculino","31 a 40","AE-Condutor Moto/Carreta","4.163"
"Centro-Oeste","Distrito Federal","Masculino","31 a 40","B-Condutor Carro","119.778"
"Centro-Oeste","Distrito Federal","Masculino","31 a 40","C-Condutor Caminhão","141"
"Centro-Oeste","Distrito Federal","Masculino","31 a 40","D-Condutor Ônibus","11.990"
"Centro-Oeste","Distrito Federal","Masculino","31 a 40","E-Condutor Carreta","1.371"
"Centro-Oeste","Distrito Federal","Masculino","31 a 40","XB-Condutor Ciclomotor/Carro","1"
"Centro-Oeste","Distrito Federal","Masculino","41 a 50","A-Condutor Moto","1.485"
"Centro-Oeste","Distrito Federal","Masculino","41 a 50","AB-Condutor Moto/Carro","50.833"
"Centro-Oeste","Distrito Federal","Masculino","41 a 50","AC-Condutor Moto/Caminhão","1.631"
"Centro-Oeste","Distrito Federal","Masculino","41 a 50","AD-Condutor Moto/Ônibus","23.955"
"Centro-Oeste","Distrito Federal","Masculino","41 a 50","AE-Condutor Moto/Carreta","4.854"
"Centro-Oeste","Distrito Federal","Masculino","41 a 50","B-Condutor Carro","105.552"
"Centro-Oeste","Distrito Federal","Masculino","41 a 50","C-Condutor Caminhão","1.518"
"Centro-Oeste","Distrito Federal","Masculino","41 a 50","D-Condutor Ônibus","22.347"
"Centro-Oeste","Distrito Federal","Masculino","41 a 50","E-Condutor Carreta","3.224"
"Centro-Oeste","Distrito Federal","Masculino","41 a 50","XB-Condutor Ciclomotor/Carro","2"
"Centro-Oeste","Distrito Federal","Masculino","41 a 50","XC-Condutor Ciclomotor/Caminhão","2"
"Centro-Oeste","Distrito Federal","Masculino","51 a 60","A-Condutor Moto","550"
"Centro-Oeste","Distrito Federal","Masculino","51 a 60","AB-Condutor Moto/Carro","26.855"
"Centro-Oeste","Distrito Federal","Masculino","51 a 60","AC-Condutor Moto/Caminhão","2.433"
"Centro-Oeste","Distrito Federal","Masculino","51 a 60","AD-Condutor Moto/Ônibus","14.396"
"Centro-Oeste","Distrito Federal","Masculino","51 a 60","AE-Condutor Moto/Carreta","2.399"
"Centro-Oeste","Distrito Federal","Masculino","51 a 60","B-Condutor Carro","74.598"
"Centro-Oeste","Distrito Federal","Masculino","51 a 60","C-Condutor Caminhão","2.491"
"Centro-Oeste","Distrito Federal","Masculino","51 a 60","D-Condutor Ônibus","20.110"
"Centro-Oeste","Distrito Federal","Masculino","51 a 60","E-Condutor Carreta","2.450"
"Centro-Oeste","Distrito Federal","Masculino","51 a 60","XB-Condutor Ciclomotor/Carro","3"
"Centro-Oeste","Distrito Federal","Masculino","61 a 70","A-Condutor Moto","176"
"Centro-Oeste","Distrito Federal","Masculino","61 a 70","AB-Condutor Moto/Carro","10.582"
"Centro-Oeste","Distrito Federal","Masculino","61 a 70","AC-Condutor Moto/Caminhão","771"
"Centro-Oeste","Distrito Federal","Masculino","61 a 70","AD-Condutor Moto/Ônibus","4.826"
"Centro-Oeste","Distrito Federal","Masculino","61 a 70","AE-Condutor Moto/Carreta","663"
"Centro-Oeste","Distrito Federal","Masculino","61 a 70","B-Condutor Carro","53.228"
"Centro-Oeste","Distrito Federal","Masculino","61 a 70","C-Condutor Caminhão","2.073"
"Centro-Oeste","Distrito Federal","Masculino","61 a 70","D-Condutor Ônibus","14.569"
"Centro-Oeste","Distrito Federal","Masculino","61 a 70","E-Condutor Carreta","1.631"
"Centro-Oeste","Distrito Federal","Masculino","61 a 70","XB-Condutor Ciclomotor/Carro","1"
"Centro-Oeste","Distrito Federal","Masculino","61 a 70","XC-Condutor Ciclomotor/Caminhão","1"
"Centro-Oeste","Distrito Federal","Masculino","71 a 80","A-Condutor Moto","34"
"Centro-Oeste","Distrito Federal","Masculino","71 a 80","AB-Condutor Moto/Carro","2.946"
"Centro-Oeste","Distrito Federal","Masculino","71 a 80","AC-Condutor Moto/Caminhão","106"
"Centro-Oeste","Distrito Federal","Masculino","71 a 80","AD-Condutor Moto/Ônibus","890"
"Centro-Oeste","Distrito Federal","Masculino","71 a 80","AE-Condutor Moto/Carreta","89"
"Centro-Oeste","Distrito Federal","Masculino","71 a 80","B-Condutor Carro","32.340"
"Centro-Oeste","Distrito Federal","Masculino","71 a 80","C-Condutor Caminhão","887"
"Centro-Oeste","Distrito Federal","Masculino","71 a 80","D-Condutor Ônibus","5.957"
"Centro-Oeste","Distrito Federal","Masculino","71 a 80","E-Condutor Carreta","411"
"Centro-Oeste","Distrito Federal","Masculino","71 a 80","XB-Condutor Ciclomotor/Carro","1"
"Centro-Oeste","Distrito Federal","Masculino","81 a 90","A-Condutor Moto","12"
"Centro-Oeste","Distrito Federal","Masculino","81 a 90","AB-Condutor Moto/Carro","806"
"Centro-Oeste","Distrito Federal","Masculino","81 a 90","AC-Condutor Moto/Caminhão","23"
"Centro-Oeste","Distrito Federal","Masculino","81 a 90","AD-Condutor Moto/Ônibus","196"
"Centro-Oeste","Distrito Federal","Masculino","81 a 90","AE-Condutor Moto/Carreta","5"
"Centro-Oeste","Distrito Federal","Masculino","81 a 90","B-Condutor Carro","15.379"
"Centro-Oeste","Distrito Federal","Masculino","81 a 90","C-Condutor Caminhão","331"
"Centro-Oeste","Distrito Federal","Masculino","81 a 90","D-Condutor Ônibus","2.422"
"Centro-Oeste","Distrito Federal","Masculino","81 a 90","E-Condutor Carreta","80"
"Centro-Oeste","Distrito Federal","Masculino","91 a 100","AB-Condutor Moto/Carro","141"
"Centro-Oeste","Distrito Federal","Masculino","91 a 100","AC-Condutor Moto/Caminhão","4"
"Centro-Oeste","Distrito Federal","Masculino","91 a 100","AD-Condutor Moto/Ônibus","25"
"Centro-Oeste","Distrito Federal","Masculino","91 a 100","B-Condutor Carro","4.680"
"Centro-Oeste","Distrito Federal","Masculino","91 a 100","C-Condutor Caminhão","45"
"Centro-Oeste","Distrito Federal","Masculino","91 a 100","D-Condutor Ônibus","370"
"Centro-Oeste","Distrito Federal","Masculino","91 a 100","E-Condutor Carreta","1"
"Centro-Oeste","Distrito Federal","Masculino","101 a 120","AB-Condutor Moto/Carro","14"
"Centro-Oeste","Distrito Federal","Masculino","101 a 120","AD-Condutor Moto/Ônibus","1"
"Centro-Oeste","Distrito Federal","Masculino","101 a 120","B-Condutor Carro","482"
"Centro-Oeste","Distrito Federal","Masculino","101 a 120","D-Condutor Ônibus","11"
"Centro-Oeste","Distrito Federal","Feminino","18 a 21","A-Condutor Moto","67"
"Centro-Oeste","Distrito Federal","Feminino","18 a 21","AB-Condutor Moto/Carro","2.366"
"Centro-Oeste","Distrito Federal","Feminino","18 a 21","B-Condutor Carro","16.521"
"Centro-Oeste","Distrito Federal","Feminino","22 a 25","A-Condutor Moto","261"
"Centro-Oeste","Distrito Federal","Feminino","22 a 25","AB-Condutor Moto/Carro","6.125"
"Centro-Oeste","Distrito Federal","Feminino","22 a 25","AD-Condutor Moto/Ônibus","15"
"Centro-Oeste","Distrito Federal","Feminino","22 a 25","B-Condutor Carro","40.436"
"Centro-Oeste","Distrito Federal","Feminino","22 a 25","D-Condutor Ônibus","34"
"Centro-Oeste","Distrito Federal","Feminino","26 a 30","A-Condutor Moto","462"
"Centro-Oeste","Distrito Federal","Feminino","26 a 30","AB-Condutor Moto/Carro","11.012"
"Centro-Oeste","Distrito Federal","Feminino","26 a 30","AC-Condutor Moto/Caminhão","1"
"Centro-Oeste","Distrito Federal","Feminino","26 a 30","AD-Condutor Moto/Ônibus","134"
"Centro-Oeste","Distrito Federal","Feminino","26 a 30","AE-Condutor Moto/Carreta","2"
"Centro-Oeste","Distrito Federal","Feminino","26 a 30","B-Condutor Carro","64.250"
"Centro-Oeste","Distrito Federal","Feminino","26 a 30","C-Condutor Caminhão","1"
"Centro-Oeste","Distrito Federal","Feminino","26 a 30","D-Condutor Ônibus","218"
"Centro-Oeste","Distrito Federal","Feminino","26 a 30","E-Condutor Carreta","1"
"Centro-Oeste","Distrito Federal","Feminino","31 a 40","A-Condutor Moto","1.094"
"Centro-Oeste","Distrito Federal","Feminino","31 a 40","AB-Condutor Moto/Carro","22.751"
"Centro-Oeste","Distrito Federal","Feminino","31 a 40","AC-Condutor Moto/Caminhão","3"
"Centro-Oeste","Distrito Federal","Feminino","31 a 40","AD-Condutor Moto/Ônibus","691"
"Centro-Oeste","Distrito Federal","Feminino","31 a 40","AE-Condutor Moto/Carreta","49"
"Centro-Oeste","Distrito Federal","Feminino","31 a 40","B-Condutor Carro","170.769"
"Centro-Oeste","Distrito Federal","Feminino","31 a 40","C-Condutor Caminhão","1"
"Centro-Oeste","Distrito Federal","Feminino","31 a 40","D-Condutor Ônibus","1.120"
"Centro-Oeste","Distrito Federal","Feminino","31 a 40","E-Condutor Carreta","10"
"Centro-Oeste","Distrito Federal","Feminino","41 a 50","A-Condutor Moto","504"
"Centro-Oeste","Distrito Federal","Feminino","41 a 50","AB-Condutor Moto/Carro","9.934"
"Centro-Oeste","Distrito Federal","Feminino","41 a 50","AC-Condutor Moto/Caminhão","40"
"Centro-Oeste","Distrito Federal","Feminino","41 a 50","AD-Condutor Moto/Ônibus","654"
"Centro-Oeste","Distrito Federal","Feminino","41 a 50","AE-Condutor Moto/Carreta","45"
"Centro-Oeste","Distrito Federal","Feminino","41 a 50","B-Condutor Carro","140.439"
"Centro-Oeste","Distrito Federal","Feminino","41 a 50","C-Condutor Caminhão","60"
"Centro-Oeste","Distrito Federal","Feminino","41 a 50","D-Condutor Ônibus","1.597"
"Centro-Oeste","Distrito Federal","Feminino","41 a 50","E-Condutor Carreta","36"
"Centro-Oeste","Distrito Federal","Feminino","41 a 50","XB-Condutor Ciclomotor/Carro","1"
"Centro-Oeste","Distrito Federal","Feminino","51 a 60","A-Condutor Moto","115"
"Centro-Oeste","Distrito Federal","Feminino","51 a 60","AB-Condutor Moto/Carro","3.713"
"Centro-Oeste","Distrito Federal","Feminino","51 a 60","AC-Condutor Moto/Caminhão","53"
"Centro-Oeste","Distrito Federal","Feminino","51 a 60","AD-Condutor Moto/Ônibus","286"
"Centro-Oeste","Distrito Federal","Feminino","51 a 60","AE-Condutor Moto/Carreta","19"
"Centro-Oeste","Distrito Federal","Feminino","51 a 60","B-Condutor Carro","91.520"
"Centro-Oeste","Distrito Federal","Feminino","51 a 60","C-Condutor Caminhão","163"
"Centro-Oeste","Distrito Federal","Feminino","51 a 60","D-Condutor Ônibus","1.148"
"Centro-Oeste","Distrito Federal","Feminino","51 a 60","E-Condutor Carreta","17"
"Centro-Oeste","Distrito Federal","Feminino","61 a 70","A-Condutor Moto","8"
"Centro-Oeste","Distrito Federal","Feminino","61 a 70","AB-Condutor Moto/Carro","925"
"Centro-Oeste","Distrito Federal","Feminino","61 a 70","AC-Condutor Moto/Caminhão","12"
"Centro-Oeste","Distrito Federal","Feminino","61 a 70","AD-Condutor Moto/Ônibus","41"
"Centro-Oeste","Distrito Federal","Feminino","61 a 70","AE-Condutor Moto/Carreta","5"
"Centro-Oeste","Distrito Federal","Feminino","61 a 70","B-Condutor Carro","52.226"
"Centro-Oeste","Distrito Federal","Feminino","61 a 70","C-Condutor Caminhão","53"
"Centro-Oeste","Distrito Federal","Feminino","61 a 70","D-Condutor Ônibus","431"
"Centro-Oeste","Distrito Federal","Feminino","61 a 70","E-Condutor Carreta","7"
"Centro-Oeste","Distrito Federal","Feminino","71 a 80","AB-Condutor Moto/Carro","90"
"Centro-Oeste","Distrito Federal","Feminino","71 a 80","AD-Condutor Moto/Ônibus","5"
"Centro-Oeste","Distrito Federal","Feminino","71 a 80","AE-Condutor Moto/Carreta","1"
"Centro-Oeste","Distrito Federal","Feminino","71 a 80","B-Condutor Carro","21.612"
"Centro-Oeste","Distrito Federal","Feminino","71 a 80","C-Condutor Caminhão","10"
"Centro-Oeste","Distrito Federal","Feminino","71 a 80","D-Condutor Ônibus","85"
"Centro-Oeste","Distrito Federal","Feminino","81 a 90","AB-Condutor Moto/Carro","12"
"Centro-Oeste","Distrito Federal","Feminino","81 a 90","B-Condutor Carro","6.303"
"Centro-Oeste","Distrito Federal","Feminino","81 a 90","C-Condutor Caminhão","4"
"Centro-Oeste","Distrito Federal","Feminino","81 a 90","D-Condutor Ônibus","16"
"Centro-Oeste","Distrito Federal","Feminino","91 a 100","AB-Condutor Moto/Carro","1"
"Centro-Oeste","Distrito Federal","Feminino","91 a 100","B-Condutor Carro","1.074"
"Centro-Oeste","Distrito Federal","Feminino","101 a 120","B-Condutor Carro","58"
"Centro-Oeste","Distrito Federal","Feminino","101 a 120","E-Condutor Carreta","1"
"Centro-Oeste","Goiás","Masculino","18 a 21","A-Condutor Moto","1.862"
"Centro-Oeste","Goiás","Masculino","18 a 21","AB-Condutor Moto/Carro","46.671"
